sample,syst,bin,ratio
ttHDL,JERup,12,0.8273819437221007
ttHDL,JERup,13,0.6254767447368426
ttHDL,JERup,14,0.0
ttHDL,JERup,15,0.9637406390208769
ttHDL,JERdown,5,0.8689335247259092
ttHDL,JERdown,6,0.850992345738119
ttHDL,JERdown,7,0.8317276998540094
ttHDL,JERdown,8,0.8086524084825797
ttHDL,JERdown,9,0.7878042586868393
ttHDL,JERdown,10,0.7427833616692833
ttHDL,JERdown,11,0.6943827186037205
ttHDL,JERdown,12,0.8123059267496943
ttHDL,JERdown,13,0.6119066629662211
ttHDL,JERdown,14,0.0
ttHDL,JERdown,15,0.9637406390370815
ttZZ,nominal,5,0.8891027556891455
ttZZ,nominal,6,0.873916203883516
ttZZ,nominal,7,0.8592698963726656
ttZZ,nominal,8,0.8469672091508699
ttZZ,nominal,9,0.8333902048138887
ttZZ,nominal,10,0.8233354598767021
ttZZ,nominal,11,0.7997859064039834
ttZZ,nominal,12,0.7513966038960276
ttZZ,nominal,13,0.8306245168265427
ttZZ,nominal,14,0.5852036049215457
ttZZ,JESup,5,0.912388940818934
ttZZ,JESup,6,0.9006924611065379
ttZZ,JESup,7,0.8892287360388083
ttZZ,JESup,8,0.8819632771878959
ttZZ,JESup,9,0.8699890986203351
ttZZ,JESup,10,0.8574450431863754
ttZZ,JESup,11,0.8491416542272825
ttZZ,JESup,12,0.7951119223752515
ttZZ,JESup,13,0.8437681168924119
ttZZ,JESup,14,0.6228881616799088
ttZZ,JESdown,5,0.8668296101504512
ttZZ,JESdown,6,0.84892343094624
ttZZ,JESdown,7,0.8299376812628175
ttZZ,JESdown,8,0.8151519179335658
ttZZ,JESdown,9,0.7989012934123622
ttZZ,JESdown,10,0.7854881574397505
ttZZ,JESdown,11,0.7598137820822884
ttZZ,JESdown,12,0.7032833898231516
ttZZ,JESdown,13,0.8136829168243718
ttZZ,JESdown,14,0.5518571548152351
ttZZ,JERup,5,0.8889544782958577
ttZZ,JERup,6,0.8741314364944459
ttZZ,JERup,7,0.8592965129309834
ttZZ,JERup,8,0.8467820666708009
ttZZ,JERup,9,0.8342748674909014
ttZZ,JERup,10,0.8237538671203496
ttZZ,JERup,11,0.799768810155888
ttZZ,JERup,12,0.7510223238604904
ttZZ,JERup,13,0.7951254169232052
ttZZ,JERup,14,0.5852036049115693
ttZZ,JERdown,5,0.8890722483319482
ttZZ,JERdown,6,0.8740103894065877
ttZZ,JERdown,7,0.8590419685115084
ttZZ,JERdown,8,0.8466617981144312
ttZZ,JERdown,9,0.8341168957054435
ttZZ,JERdown,10,0.8221219209517384
ttZZ,JERdown,11,0.7932625329082259
ttZZ,JERdown,12,0.7525014326846527
ttZZ,JERdown,13,0.8396183982153261
ttZZ,JERdown,14,0.5852036049142592
tt4b,nominal,5,0.8758760444952967
tt4b,nominal,6,0.8623813702452826
tt4b,nominal,7,0.8504415158983173
tt4b,nominal,8,0.8380206542334346
tt4b,nominal,9,0.8259937204911834
tt4b,nominal,10,0.8087027502290806
tt4b,nominal,11,0.7667047616158371
tt4b,nominal,12,0.7882140037487375
tt4b,nominal,13,0.7550049298661288
tt4b,nominal,14,1.4795532265599636
tt4b,JESup,5,0.901403474616053
tt4b,JESup,6,0.8875361476291547
tt4b,JESup,7,0.8832546137188325
tt4b,JESup,8,0.8721160526673867
tt4b,JESup,9,0.8625588682516991
tt4b,JESup,10,0.85269473191099
tt4b,JESup,11,0.8181885190368418
tt4b,JESup,12,0.79885628879686
tt4b,JESup,13,0.8690013946807126
tt4b,JESup,14,0.8065927830278579
tt4b,JESdown,5,0.8515339916993864
tt4b,JESdown,6,0.8358026545451993
tt4b,JESdown,7,0.820205648945639
tt4b,JESdown,8,0.8057854392954723
tt4b,JESdown,9,0.7879180480833908
tt4b,JESdown,10,0.7613273785427269
tt4b,JESdown,11,0.7333312061719996
tt4b,JESdown,12,0.7216462651989084
tt4b,JESdown,13,0.7044643989534044
tt4b,JESdown,14,1.3418780141008082
tt4b,JERup,5,0.8760087742527624
tt4b,JERup,6,0.8620305691206638
tt4b,JERup,7,0.8507584511062327
tt4b,JERup,8,0.8381345033441562
tt4b,JERup,9,0.8261523051553077
tt4b,JERup,10,0.8095609505476946
tt4b,JERup,11,0.7659234885955345
tt4b,JERup,12,0.7827448520885039
tt4b,JERup,13,0.7656812632933523
tt4b,JERup,14,1.4795532265599636
tt4b,JERdown,5,0.8761121825089184
tt4b,JERdown,6,0.8618715844659277
tt4b,JERdown,7,0.8501778944839106
tt4b,JERdown,8,0.8373748016836853
tt4b,JERdown,9,0.8273198044433298
tt4b,JERdown,10,0.8072249984823441
tt4b,JERdown,11,0.7587404291235376
tt4b,JERdown,12,0.7905998351407295
tt4b,JERdown,13,0.7578272833050126
tt4b,JERdown,14,1.4795532265599636
