sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis
ttbbDL,Weight_pdf_variation_320901,0.984188556,0.985384149,-1,-1,-1,-1,0.984188556
ttbbDL,Weight_pdf_variation_320902,1.011693352,1.01120597,-1,-1,-1,-1,1.011693352
ttbbDL,Weight_pdf_variation_320903,0.998117311,0.997829422,-1,-1,-1,-1,0.998117311
ttbbDL,Weight_pdf_variation_320904,0.988373497,0.988397176,-1,-1,-1,-1,0.988373497
ttbbDL,Weight_pdf_variation_320905,1.004190887,1.005140151,-1,-1,-1,-1,1.004190887
ttbbDL,Weight_pdf_variation_320906,0.970942911,0.971326732,-1,-1,-1,-1,0.970942911
ttbbDL,Weight_pdf_variation_320907,1.010415454,1.010000157,-1,-1,-1,-1,1.010415454
ttbbDL,Weight_pdf_variation_320908,1.015211099,1.014094782,-1,-1,-1,-1,1.015211099
ttbbDL,Weight_pdf_variation_320909,1.003813141,1.002821421,-1,-1,-1,-1,1.003813141
ttbbDL,Weight_pdf_variation_320910,0.968053893,0.967692457,-1,-1,-1,-1,0.968053893
ttbbDL,Weight_pdf_variation_320911,0.997358883,0.997920644,-1,-1,-1,-1,0.997358883
ttbbDL,Weight_pdf_variation_320912,0.988180356,0.98870911,-1,-1,-1,-1,0.988180356
ttbbDL,Weight_pdf_variation_320913,1.011099898,1.010906433,-1,-1,-1,-1,1.011099898
ttbbDL,Weight_pdf_variation_320914,0.998797148,0.999783286,-1,-1,-1,-1,0.998797148
ttbbDL,Weight_pdf_variation_320915,1.026460081,1.025460232,-1,-1,-1,-1,1.026460081
ttbbDL,Weight_pdf_variation_320916,1.0020167,1.000793165,-1,-1,-1,-1,1.0020167
ttbbDL,Weight_pdf_variation_320917,0.989768472,0.98993643,-1,-1,-1,-1,0.989768472
ttbbDL,Weight_pdf_variation_320918,1.008229917,1.008558845,-1,-1,-1,-1,1.008229917
ttbbDL,Weight_pdf_variation_320919,1.027741378,1.027872205,-1,-1,-1,-1,1.027741378
ttbbDL,Weight_pdf_variation_320920,1.021193655,1.020958475,-1,-1,-1,-1,1.021193655
ttbbDL,Weight_pdf_variation_320921,1.013022956,1.012423761,-1,-1,-1,-1,1.013022956
ttbbDL,Weight_pdf_variation_320922,1.029419895,1.028634499,-1,-1,-1,-1,1.029419895
ttbbDL,Weight_pdf_variation_320923,1.024770091,1.024970995,-1,-1,-1,-1,1.024770091
ttbbDL,Weight_pdf_variation_320924,1.000232308,1.000452817,-1,-1,-1,-1,1.000232308
ttbbDL,Weight_pdf_variation_320925,1.015030256,1.014702297,-1,-1,-1,-1,1.015030256
ttbbDL,Weight_pdf_variation_320926,1.011073679,1.00935953,-1,-1,-1,-1,1.011073679
ttbbDL,Weight_pdf_variation_320927,0.998726355,0.996984852,-1,-1,-1,-1,0.998726355
ttbbDL,Weight_pdf_variation_320928,1.003601553,1.00351802,-1,-1,-1,-1,1.003601553
ttbbDL,Weight_pdf_variation_320929,0.992823826,0.992867321,-1,-1,-1,-1,0.992823826
ttbbDL,Weight_pdf_variation_320930,0.98923444,0.988469105,-1,-1,-1,-1,0.98923444
ttbbDL,Weight_pdf_variation_320931,0.991315608,0.991176565,-1,-1,-1,-1,0.991315608
ttbbDL,Weight_pdf_variation_320932,0.997080874,0.99841058,-1,-1,-1,-1,0.997080874
ttbbDL,Weight_pdf_variation_320933,1.009106654,1.009414268,-1,-1,-1,-1,1.009106654
ttbbDL,Weight_pdf_variation_320934,0.983548834,0.984855337,-1,-1,-1,-1,0.983548834
ttbbDL,Weight_pdf_variation_320935,1.004649652,1.003564161,-1,-1,-1,-1,1.004649652
ttbbDL,Weight_pdf_variation_320936,0.998356888,0.998365085,-1,-1,-1,-1,0.998356888
ttbbDL,Weight_pdf_variation_320937,1.016538925,1.015769523,-1,-1,-1,-1,1.016538925
ttbbDL,Weight_pdf_variation_320938,0.994215174,0.993362772,-1,-1,-1,-1,0.994215174
ttbbDL,Weight_pdf_variation_320939,0.994725768,0.99341375,-1,-1,-1,-1,0.994725768
ttbbDL,Weight_pdf_variation_320940,0.995855721,0.995283897,-1,-1,-1,-1,0.995855721
ttbbDL,Weight_pdf_variation_320941,0.9946608,0.993544667,-1,-1,-1,-1,0.9946608
ttbbDL,Weight_pdf_variation_320942,0.981380897,0.982072056,-1,-1,-1,-1,0.981380897
ttbbDL,Weight_pdf_variation_320943,0.988137397,0.988508373,-1,-1,-1,-1,0.988137397
ttbbDL,Weight_pdf_variation_320944,0.984352813,0.985108248,-1,-1,-1,-1,0.984352813
ttbbDL,Weight_pdf_variation_320945,1.003258046,1.003530784,-1,-1,-1,-1,1.003258046
ttbbDL,Weight_pdf_variation_320946,0.993865021,0.993947081,-1,-1,-1,-1,0.993865021
ttbbDL,Weight_pdf_variation_320947,0.996540323,0.998448498,-1,-1,-1,-1,0.996540323
ttbbDL,Weight_pdf_variation_320948,0.993572716,0.994192341,-1,-1,-1,-1,0.993572716
ttbbDL,Weight_pdf_variation_320949,1.003437392,1.002503686,-1,-1,-1,-1,1.003437392
ttbbDL,Weight_pdf_variation_320950,0.9899164,0.989079415,-1,-1,-1,-1,0.9899164
ttbbDL,Weight_pdf_variation_320951,0.995603141,0.996225178,-1,-1,-1,-1,0.995603141
ttbbDL,Weight_pdf_variation_320952,1.00824996,1.007314689,-1,-1,-1,-1,1.00824996
ttbbDL,Weight_pdf_variation_320953,0.997071783,0.997032364,-1,-1,-1,-1,0.997071783
ttbbDL,Weight_pdf_variation_320954,1.003798083,1.003967773,-1,-1,-1,-1,1.003798083
ttbbDL,Weight_pdf_variation_320955,1.009528769,1.01110258,-1,-1,-1,-1,1.009528769
ttbbDL,Weight_pdf_variation_320956,0.996185041,0.995783069,-1,-1,-1,-1,0.996185041
ttbbDL,Weight_pdf_variation_320957,1.013144729,1.012981658,-1,-1,-1,-1,1.013144729
ttbbDL,Weight_pdf_variation_320958,0.990590435,0.990149116,-1,-1,-1,-1,0.990590435
ttbbDL,Weight_pdf_variation_320959,1.008809125,1.006977287,-1,-1,-1,-1,1.008809125
ttbbDL,Weight_pdf_variation_320960,1.003829979,1.004333745,-1,-1,-1,-1,1.003829979
ttbbDL,Weight_pdf_variation_320961,0.998945511,0.998252915,-1,-1,-1,-1,0.998945511
ttbbDL,Weight_pdf_variation_320962,0.996922234,0.99654628,-1,-1,-1,-1,0.996922234
ttbbDL,Weight_pdf_variation_320963,1.014776394,1.015207499,-1,-1,-1,-1,1.014776394
ttbbDL,Weight_pdf_variation_320964,0.992069296,0.993054033,-1,-1,-1,-1,0.992069296
ttbbDL,Weight_pdf_variation_320965,1.014120482,1.013487559,-1,-1,-1,-1,1.014120482
ttbbDL,Weight_pdf_variation_320966,0.990274705,0.990873463,-1,-1,-1,-1,0.990274705
ttbbDL,Weight_pdf_variation_320967,1.011654877,1.012787221,-1,-1,-1,-1,1.011654877
ttbbDL,Weight_pdf_variation_320968,1.006233843,1.005695242,-1,-1,-1,-1,1.006233843
ttbbDL,Weight_pdf_variation_320969,1.002470192,1.003733714,-1,-1,-1,-1,1.002470192
ttbbDL,Weight_pdf_variation_320970,0.992014831,0.993410193,-1,-1,-1,-1,0.992014831
ttbbDL,Weight_pdf_variation_320971,1.00381499,1.003100154,-1,-1,-1,-1,1.00381499
ttbbDL,Weight_pdf_variation_320972,1.01851271,1.01734973,-1,-1,-1,-1,1.01851271
ttbbDL,Weight_pdf_variation_320973,1.00397751,1.004276547,-1,-1,-1,-1,1.00397751
ttbbDL,Weight_pdf_variation_320974,1.011683785,1.009980079,-1,-1,-1,-1,1.011683785
ttbbDL,Weight_pdf_variation_320975,0.994195174,0.994339936,-1,-1,-1,-1,0.994195174
ttbbDL,Weight_pdf_variation_320976,0.988029423,0.988630042,-1,-1,-1,-1,0.988029423
